Year,Team,W,L,T
1996,Colts,9,7,0
1995,Colts,9,7,0
1994,Colts,8,8,0
1993,Colts,4,12,0
1992,Colts,9,7,0
1991,Colts,1,15,0
1990,Colts,7,9,0
1989,Colts,8,8,0
1988,Colts,9,7,0
1987,Colts,9,6,0
1986,Colts,3,13,0
1985,Colts,5,11,0
1984,Colts,4,12,0
1983,Colts,7,9,0
1982,Colts,0,8,1
1981,Colts,2,14,0
1980,Colts,7,9,0
1979,Colts,5,11,0
1978,Colts,5,11,0
1977,Colts,10,4,0
1976,Colts,11,3,0
1975,Colts,10,4,0
1974,Colts,2,12,0
1973,Colts,4,10,0
1972,Colts,5,9,0
1971,Colts,10,4,0
2019,Jaguars,6,10,0
2018,Jaguars,5,11,0
2017,Jaguars,10,6,0
2016,Jaguars,3,13,0
2015,Jaguars,5,11,0
